Date,Close
01/07/2013 16:00:00,81.31
02/07/2013 16:00:00,80.9
03/07/2013 16:00:00,80.99
05/07/2013 16:00:00,81.44
08/07/2013 16:00:00,81.35
09/07/2013 16:00:00,83.91
10/07/2013 16:00:00,82.87
11/07/2013 16:00:00,84.25
12/07/2013 16:00:00,83.94
15/07/2013 16:00:00,84.42
16/07/2013 16:00:00,83.96
17/07/2013 16:00:00,83.6
18/07/2013 16:00:00,83.66
19/07/2013 16:00:00,84.05
22/07/2013 16:00:00,84.78
23/07/2013 16:00:00,83.9
24/07/2013 16:00:00,82.59
25/07/2013 16:00:00,82.9
26/07/2013 16:00:00,82.81
29/07/2013 16:00:00,83.02
30/07/2013 16:00:00,82.98
31/07/2013 16:00:00,83.07
01/08/2013 16:00:00,83.05
02/08/2013 16:00:00,83.4
05/08/2013 16:00:00,82.8
06/08/2013 16:00:00,81.2
07/08/2013 16:00:00,80.99
08/08/2013 16:00:00,82.32
09/08/2013 16:00:00,81.74
12/08/2013 16:00:00,83.38
13/08/2013 16:00:00,83.91
14/08/2013 16:00:00,82.34
15/08/2013 16:00:00,84.36
16/08/2013 16:00:00,84.11
19/08/2013 16:00:00,84.52
20/08/2013 16:00:00,83.25
21/08/2013 16:00:00,82.51
22/08/2013 16:00:00,83.25
23/08/2013 16:00:00,83.5
26/08/2013 16:00:00,84.77
27/08/2013 16:00:00,83.48
28/08/2013 16:00:00,84.12
29/08/2013 16:00:00,83.8
30/08/2013 16:00:00,83.64
03/09/2013 16:00:00,84.06
04/09/2013 16:00:00,84.48
05/09/2013 16:00:00,82.55
06/09/2013 16:00:00,82.61
09/09/2013 16:00:00,83.88
10/09/2013 16:00:00,84.18
11/09/2013 16:00:00,84.31
12/09/2013 16:00:00,83.19
13/09/2013 16:00:00,82.49
16/09/2013 16:00:00,83.54
17/09/2013 16:00:00,83.71
18/09/2013 16:00:00,84.51
19/09/2013 16:00:00,85.1
20/09/2013 16:00:00,83.82
23/09/2013 16:00:00,84.01
24/09/2013 16:00:00,84.26
25/09/2013 16:00:00,84.64
26/09/2013 16:00:00,83.08
27/09/2013 16:00:00,82.37
30/09/2013 16:00:00,81.39
01/10/2013 16:00:00,82.22
02/10/2013 16:00:00,82.3
03/10/2013 16:00:00,82.09
04/10/2013 16:00:00,82.55
07/10/2013 16:00:00,82.46
08/10/2013 16:00:00,82.21
09/10/2013 16:00:00,82.6
10/10/2013 16:00:00,82.92
11/10/2013 16:00:00,82.31
14/10/2013 16:00:00,83.1
15/10/2013 16:00:00,82.36
16/10/2013 16:00:00,82.97
17/10/2013 16:00:00,83.65
18/10/2013 16:00:00,84.19
21/10/2013 16:00:00,84.17
22/10/2013 16:00:00,84.54
23/10/2013 16:00:00,84.08
24/10/2013 16:00:00,84.28
25/10/2013 16:00:00,83.55
28/10/2013 16:00:00,83.47
29/10/2013 16:00:00,82.65
30/10/2013 16:00:00,82.21
31/10/2013 16:00:00,81.84
01/11/2013 16:00:00,81.64
04/11/2013 16:00:00,81.79
05/11/2013 16:00:00,81.8
06/11/2013 16:00:00,81.8
07/11/2013 16:00:00,81.56
08/11/2013 16:00:00,81.5
11/11/2013 16:00:00,81.86
12/11/2013 16:00:00,82.12
13/11/2013 16:00:00,82.84
14/11/2013 16:00:00,82.85
15/11/2013 16:00:00,82.83
18/11/2013 16:00:00,83.66
19/11/2013 16:00:00,82.81
20/11/2013 16:00:00,84.52
21/11/2013 16:00:00,83.85
22/11/2013 16:00:00,84.77
25/11/2013 16:00:00,84.68
26/11/2013 16:00:00,83.84
27/11/2013 16:00:00,83.8
29/11/2013 16:00:00,84.24
02/12/2013 16:00:00,83.87
03/12/2013 16:00:00,82.71
04/12/2013 16:00:00,85.38
05/12/2013 16:00:00,84.86
06/12/2013 16:00:00,85.32
09/12/2013 16:00:00,87.2
10/12/2013 16:00:00,88.04
11/12/2013 16:00:00,87.28
12/12/2013 16:00:00,86.84
13/12/2013 16:00:00,87.18
16/12/2013 16:00:00,88.87
17/12/2013 16:00:00,88.3
18/12/2013 16:00:00,89.41
19/12/2013 16:00:00,89.41
20/12/2013 16:00:00,90.08
23/12/2013 16:00:00,90.64
24/12/2013 16:00:00,90.86
26/12/2013 16:00:00,91.12
27/12/2013 16:00:00,90.7
30/12/2013 16:00:00,90.82
31/12/2013 16:00:00,91.33
02/01/2014 16:00:00,90.26
03/01/2014 16:00:00,90.66
06/01/2014 16:00:00,89.91
07/01/2014 16:00:00,90.31
08/01/2014 16:00:00,89.34
09/01/2014 16:00:00,88.98
10/01/2014 16:00:00,89.76
13/01/2014 16:00:00,89.51
14/01/2014 16:00:00,89.7
