Date,Close
01/07/2013 16:00:00,36.3
02/07/2013 16:00:00,35.41
03/07/2013 16:00:00,36.21
05/07/2013 16:00:00,34.11
08/07/2013 16:00:00,33.89
09/07/2013 16:00:00,34.47
10/07/2013 16:00:00,35.62
11/07/2013 16:00:00,37.57
12/07/2013 16:00:00,36.81
15/07/2013 16:00:00,37.71
16/07/2013 16:00:00,39.68
17/07/2013 16:00:00,38.07
18/07/2013 16:00:00,38.22
19/07/2013 16:00:00,39.56
22/07/2013 16:00:00,43.7
23/07/2013 16:00:00,45.13
24/07/2013 16:00:00,43.51
25/07/2013 16:00:00,44.07
26/07/2013 16:00:00,43.84
29/07/2013 16:00:00,43.33
30/07/2013 16:00:00,43.26
31/07/2013 16:00:00,42.19
01/08/2013 16:00:00,41.05
02/08/2013 16:00:00,40.19
05/08/2013 16:00:00,40.12
06/08/2013 16:00:00,38.58
07/08/2013 16:00:00,38.63
08/08/2013 16:00:00,40.7
09/08/2013 16:00:00,41.74
12/08/2013 16:00:00,43.38
13/08/2013 16:00:00,42.66
14/08/2013 16:00:00,44.31
15/08/2013 16:00:00,46.64
16/08/2013 16:00:00,46.25
19/08/2013 16:00:00,45.93
20/08/2013 16:00:00,46.95
21/08/2013 16:00:00,45.14
22/08/2013 16:00:00,45.14
23/08/2013 16:00:00,46.29
26/08/2013 16:00:00,47.2
27/08/2013 16:00:00,47.19
28/08/2013 16:00:00,47.02
29/08/2013 16:00:00,46.07
30/08/2013 16:00:00,45.35
03/09/2013 16:00:00,45.57
04/09/2013 16:00:00,45.71
05/09/2013 16:00:00,44.64
06/09/2013 16:00:00,45.74
09/09/2013 16:00:00,45.13
10/09/2013 16:00:00,43.41
11/09/2013 16:00:00,42.92
12/09/2013 16:00:00,41.22
13/09/2013 16:00:00,42.69
16/09/2013 16:00:00,43.47
17/09/2013 16:00:00,43.79
18/09/2013 16:00:00,46.79
19/09/2013 16:00:00,47.14
20/09/2013 16:00:00,45
23/09/2013 16:00:00,44.5
24/09/2013 16:00:00,44.59
25/09/2013 16:00:00,45.63
26/09/2013 16:00:00,44.22
27/09/2013 16:00:00,44.99
30/09/2013 16:00:00,45.26
01/10/2013 16:00:00,43.55
02/10/2013 16:00:00,43.72
03/10/2013 16:00:00,43.36
04/10/2013 16:00:00,43.07
07/10/2013 16:00:00,44.11
08/10/2013 16:00:00,42.63
09/10/2013 16:00:00,42.99
10/10/2013 16:00:00,42.35
11/10/2013 16:00:00,41
14/10/2013 16:00:00,40.68
15/10/2013 16:00:00,42.22
16/10/2013 16:00:00,41.27
17/10/2013 16:00:00,43.16
18/10/2013 16:00:00,42.81
21/10/2013 16:00:00,43.68
22/10/2013 16:00:00,45.32
23/10/2013 16:00:00,43.95
24/10/2013 16:00:00,45.74
25/10/2013 16:00:00,45.66
28/10/2013 16:00:00,45.71
29/10/2013 16:00:00,45.33
30/10/2013 16:00:00,46.08
31/10/2013 16:00:00,44.91
01/11/2013 16:00:00,43.69
04/11/2013 16:00:00,44.83
05/11/2013 16:00:00,43.5
06/11/2013 16:00:00,45.1
07/11/2013 16:00:00,43.63
08/11/2013 16:00:00,44.12
11/11/2013 16:00:00,44.53
12/11/2013 16:00:00,43.24
13/11/2013 16:00:00,43.33
14/11/2013 16:00:00,44.24
15/11/2013 16:00:00,43.91
18/11/2013 16:00:00,43.93
19/11/2013 16:00:00,43.57
20/11/2013 16:00:00,41.49
21/11/2013 16:00:00,41.12
22/11/2013 16:00:00,40.43
25/11/2013 16:00:00,40.44
26/11/2013 16:00:00,39.19
27/11/2013 16:00:00,39.4
29/11/2013 16:00:00,40.35
02/12/2013 16:00:00,37.83
03/12/2013 16:00:00,37.73
04/12/2013 16:00:00,38.77
05/12/2013 16:00:00,37.55
06/12/2013 16:00:00,37.39
09/12/2013 16:00:00,38.27
10/12/2013 16:00:00,39.99
11/12/2013 16:00:00,39.25
12/12/2013 16:00:00,39.35
13/12/2013 16:00:00,39.74
16/12/2013 16:00:00,40.62
17/12/2013 16:00:00,40.5
18/12/2013 16:00:00,40.16
19/12/2013 16:00:00,39.64
20/12/2013 16:00:00,39.6
23/12/2013 16:00:00,39.66
24/12/2013 16:00:00,40.81
26/12/2013 16:00:00,40.85
27/12/2013 16:00:00,41.15
30/12/2013 16:00:00,40
31/12/2013 16:00:00,40.74
02/01/2014 16:00:00,41.77
03/01/2014 16:00:00,41.51
06/01/2014 16:00:00,41.63
07/01/2014 16:00:00,41.36
08/01/2014 16:00:00,41.01
09/01/2014 16:00:00,41.42
10/01/2014 16:00:00,42.08
13/01/2014 16:00:00,43.33
14/01/2014 16:00:00,42.37
15/01/2014 16:00:00,43.2
16/01/2014 16:00:00,43.84
17/01/2014 16:00:00,44.95
21/01/2014 16:00:00,45.54
22/01/2014 16:00:00,44.51
23/01/2014 16:00:00,46.33
24/01/2014 16:00:00,47.05
27/01/2014 16:00:00,45.28
28/01/2014 16:00:00,46.57
29/01/2014 16:00:00,48.51
30/01/2014 16:00:00,48.48
31/01/2014 16:00:00,48.45
03/02/2014 16:00:00,47.59
04/02/2014 16:00:00,48.99
05/02/2014 16:00:00,48.76
06/02/2014 16:00:00,47.61
07/02/2014 16:00:00,49.48
10/02/2014 16:00:00,51.01
11/02/2014 16:00:00,51.88
12/02/2014 16:00:00,50.02
13/02/2014 16:00:00,52.12
14/02/2014 16:00:00,51.89
18/02/2014 16:00:00,52.53
19/02/2014 16:00:00,51.1
20/02/2014 16:00:00,53.19
21/02/2014 16:00:00,52.53
24/02/2014 16:00:00,53.24
25/02/2014 16:00:00,51.6
26/02/2014 16:00:00,51.19
27/02/2014 16:00:00,50.46
28/02/2014 16:00:00,51.15
03/03/2014 16:00:00,51.43
04/03/2014 16:00:00,50.54
05/03/2014 16:00:00,51.41
06/03/2014 16:00:00,51.93
07/03/2014 16:00:00,50.65
10/03/2014 16:00:00,49.66
11/03/2014 16:00:00,49.88
12/03/2014 16:00:00,51.05
13/03/2014 16:00:00,52.5
14/03/2014 16:00:00,52.63
17/03/2014 16:00:00,51.17
18/03/2014 16:00:00,50.04
19/03/2014 16:00:00,47.97
20/03/2014 16:00:00,47.24
21/03/2014 16:00:00,46.93
24/03/2014 16:00:00,45.84
25/03/2014 16:00:00,46
26/03/2014 16:00:00,45.22
27/03/2014 16:00:00,45.99
28/03/2014 16:00:00,46.9
31/03/2014 16:00:00,45.86
01/04/2014 16:00:00,45.57
02/04/2014 16:00:00,46.7
03/04/2014 16:00:00,46.45
04/04/2014 16:00:00,46.93
07/04/2014 16:00:00,47.24
08/04/2014 16:00:00,48.27
09/04/2014 16:00:00,48.35
10/04/2014 16:00:00,47.34
11/04/2014 16:00:00,46.34
14/04/2014 16:00:00,46.81
15/04/2014 16:00:00,46.05
16/04/2014 16:00:00,46.27
17/04/2014 16:00:00,46.25
21/04/2014 16:00:00,45.42
22/04/2014 16:00:00,46.86
23/04/2014 16:00:00,47.51
24/04/2014 16:00:00,46.63
25/04/2014 16:00:00,47.68
28/04/2014 16:00:00,47.46
29/04/2014 16:00:00,48.61
30/04/2014 16:00:00,48.17
01/05/2014 16:00:00,47.49
02/05/2014 16:00:00,48.7
05/05/2014 16:00:00,48.77
06/05/2014 16:00:00,49.64
07/05/2014 16:00:00,48.56
08/05/2014 16:00:00,49.35
09/05/2014 16:00:00,49.08
12/05/2014 16:00:00,49.06
13/05/2014 16:00:00,48.11
14/05/2014 16:00:00,49.09
15/05/2014 16:00:00,48.87
16/05/2014 16:00:00,48.18
19/05/2014 16:00:00,48.24
20/05/2014 16:00:00,49.18
21/05/2014 16:00:00,48.61
22/05/2014 16:00:00,49.02
23/05/2014 16:00:00,48.58
27/05/2014 16:00:00,46.3
28/05/2014 16:00:00,45.72
29/05/2014 16:00:00,46.16
30/05/2014 16:00:00,46.54
02/06/2014 16:00:00,45.87
03/06/2014 16:00:00,46.34
04/06/2014 16:00:00,46.79
05/06/2014 16:00:00,47.2
06/06/2014 16:00:00,46.42
09/06/2014 16:00:00,46.31
10/06/2014 16:00:00,46.88
11/06/2014 16:00:00,48.11
12/06/2014 16:00:00,50.06
13/06/2014 16:00:00,50.41
16/06/2014 16:00:00,50.07
17/06/2014 16:00:00,50.55
18/06/2014 16:00:00,52.01
19/06/2014 16:00:00,55.47
20/06/2014 16:00:00,55.21
23/06/2014 16:00:00,55.92
24/06/2014 16:00:00,55.14
25/06/2014 16:00:00,55.2
26/06/2014 16:00:00,56.07
27/06/2014 16:00:00,56.3
30/06/2014 16:00:00,57.34
01/07/2014 16:00:00,56.23
02/07/2014 16:00:00,57.01
03/07/2014 16:00:00,56.63
07/07/2014 16:00:00,56.39
08/07/2014 16:00:00,57.62
09/07/2014 16:00:00,58.71
10/07/2014 16:00:00,58.38
11/07/2014 16:00:00,58.19
14/07/2014 16:00:00,56.77
15/07/2014 16:00:00,54.79
16/07/2014 16:00:00,55.83
17/07/2014 16:00:00,56.51
18/07/2014 16:00:00,56.39
21/07/2014 16:00:00,56.75
22/07/2014 16:00:00,56.52
23/07/2014 16:00:00,56.71
24/07/2014 16:00:00,56.32
25/07/2014 16:00:00,57.69
28/07/2014 16:00:00,58.22
29/07/2014 16:00:00,58.23
30/07/2014 16:00:00,57.82
31/07/2014 16:00:00,56.55
01/08/2014 16:00:00,56.66
04/08/2014 16:00:00,55.86
05/08/2014 16:00:00,56.58
06/08/2014 16:00:00,58.22
07/08/2014 16:00:00,60.07
08/08/2014 16:00:00,58.52
11/08/2014 16:00:00,59.08
12/08/2014 16:00:00,60.58
13/08/2014 16:00:00,60.87
14/08/2014 16:00:00,58.1
15/08/2014 16:00:00,58.21
18/08/2014 16:00:00,58.54
19/08/2014 16:00:00,58.25
20/08/2014 16:00:00,58.08
21/08/2014 16:00:00,55.43
22/08/2014 16:00:00,55.9
25/08/2014 16:00:00,55.29
26/08/2014 16:00:00,55.74
27/08/2014 16:00:00,55.68
28/08/2014 16:00:00,55.89
29/08/2014 16:00:00,56.29
02/09/2014 16:00:00,55.38
03/09/2014 16:00:00,56.2
04/09/2014 16:00:00,54.77
05/09/2014 16:00:00,55.81
08/09/2014 16:00:00,53.88
09/09/2014 16:00:00,54.52
10/09/2014 16:00:00,53.5
11/09/2014 16:00:00,53.88
12/09/2014 16:00:00,52.82
15/09/2014 16:00:00,52.99
16/09/2014 16:00:00,53.34
17/09/2014 16:00:00,52.67
18/09/2014 16:00:00,51.7
19/09/2014 16:00:00,50.21
22/09/2014 16:00:00,49.06
23/09/2014 16:00:00,50.21
24/09/2014 16:00:00,48.79
25/09/2014 16:00:00,49.87
26/09/2014 16:00:00,49.46
29/09/2014 16:00:00,49.14
30/09/2014 16:00:00,48.88
01/10/2014 16:00:00,48.51
02/10/2014 16:00:00,48.53
03/10/2014 16:00:00,46.75
06/10/2014 16:00:00,47.94
07/10/2014 16:00:00,47.16
08/10/2014 16:00:00,51.91
09/10/2014 16:00:00,52.18
10/10/2014 16:00:00,51.26
13/10/2014 16:00:00,51.76
14/10/2014 16:00:00,53.47
15/10/2014 16:00:00,55.44
16/10/2014 16:00:00,54.69
17/10/2014 16:00:00,53.43
20/10/2014 16:00:00,55.36
21/10/2014 16:00:00,53.89
22/10/2014 16:00:00,52.25
23/10/2014 16:00:00,52.95
24/10/2014 16:00:00,53.57
27/10/2014 16:00:00,52.05
28/10/2014 16:00:00,52.51
29/10/2014 16:00:00,50.77
30/10/2014 16:00:00,48.41
31/10/2014 16:00:00,46.75
03/11/2014 16:00:00,48.27
04/11/2014 16:00:00,46.27
05/11/2014 16:00:00,44.98
06/11/2014 16:00:00,46.72
07/11/2014 16:00:00,50.54
10/11/2014 16:00:00,47.86
11/11/2014 16:00:00,50.71
12/11/2014 16:00:00,51.07
13/11/2014 16:00:00,50.18
14/11/2014 16:00:00,52.52
17/11/2014 16:00:00,53.86
18/11/2014 16:00:00,56.32
19/11/2014 16:00:00,53.19
20/11/2014 16:00:00,54.64
21/11/2014 16:00:00,54.71
24/11/2014 16:00:00,53.44
25/11/2014 16:00:00,55.29
26/11/2014 16:00:00,54.78
28/11/2014 16:00:00,50.02
01/12/2014 16:00:00,52.49
02/12/2014 16:00:00,52.06
03/12/2014 16:00:00,53.77
04/12/2014 16:00:00,52.41
05/12/2014 16:00:00,50.84
08/12/2014 16:00:00,51.21
09/12/2014 16:00:00,52.95
10/12/2014 16:00:00,52.02
11/12/2014 16:00:00,50.54
12/12/2014 16:00:00,49.11
15/12/2014 16:00:00,46.14
16/12/2014 16:00:00,45.99
17/12/2014 16:00:00,47.66
18/12/2014 16:00:00,49.71
19/12/2014 16:00:00,48.71
22/12/2014 16:00:00,46.86
